KEGGID	ENTREZID	DESCRPTION
120	hsa00030	6888	Pentose phosphate pathway
121	hsa00030	7086	Pentose phosphate pathway
122	hsa00030	729020	Pentose phosphate pathway
123	hsa00030	8277	Pentose phosphate pathway
124	hsa00030	84076	Pentose phosphate pathway
125	hsa00030	8789	Pentose phosphate pathway
126	hsa00030	9104	Pentose phosphate pathway
127	hsa00030	9563	Pentose phosphate pathway
128	hsa00040	10327	Pentose and glucuronate interconversions
129	hsa00040	10720	Pentose and glucuronate interconversions
130	hsa00040	10941	Pentose and glucuronate interconversions
131	hsa00040	231	Pentose and glucuronate interconversions
132	hsa00040	27294	Pentose and glucuronate interconversions
133	hsa00040	2990	Pentose and glucuronate interconversions
134	hsa00040	51084	Pentose and glucuronate interconversions
135	hsa00040	51181	Pentose and glucuronate interconversions
136	hsa00040	54490	Pentose and glucuronate interconversions
137	hsa00040	54575	Pentose and glucuronate interconversions
138	hsa00040	54576	Pentose and glucuronate interconversions
139	hsa00040	54577	Pentose and glucuronate interconversions
140	hsa00040	54578	Pentose and glucuronate interconversions
141	hsa00040	54579	Pentose and glucuronate interconversions
142	hsa00040	54600	Pentose and glucuronate interconversions
143	hsa00040	54657	Pentose and glucuronate interconversions
144	hsa00040	54658	Pentose and glucuronate interconversions
145	hsa00040	54659	Pentose and glucuronate interconversions
146	hsa00040	57016	Pentose and glucuronate interconversions
147	hsa00040	574537	Pentose and glucuronate interconversions
148	hsa00040	6120	Pentose and glucuronate interconversions
149	hsa00040	6652	Pentose and glucuronate interconversions
150	hsa00040	729020	Pentose and glucuronate interconversions
151	hsa00040	729920	Pentose and glucuronate interconversions
152	hsa00040	7358	Pentose and glucuronate interconversions
153	hsa00040	7360	Pentose and glucuronate interconversions
154	hsa00040	7363	Pentose and glucuronate interconversions
155	hsa00040	7364	Pentose and glucuronate interconversions
156	hsa00040	7365	Pentose and glucuronate interconversions
157	hsa00040	7366	Pentose and glucuronate interconversions
158	hsa00040	7367	Pentose and glucuronate interconversions
159	hsa00040	79799	Pentose and glucuronate interconversions
160	hsa00040	9365	Pentose and glucuronate interconversions
161	hsa00040	9942	Pentose and glucuronate interconversions
162	hsa00051	197258	Fructose and mannose metabolism
163	hsa00051	2203	Fructose and mannose metabolism
164	hsa00051	226	Fructose and mannose metabolism
165	hsa00051	229	Fructose and mannose metabolism
166	hsa00051	230	Fructose and mannose metabolism
167	hsa00051	231	Fructose and mannose metabolism
168	hsa00051	26007	Fructose and mannose metabolism
169	hsa00051	2762	Fructose and mannose metabolism
170	hsa00051	29925	Fructose and mannose metabolism
171	hsa00051	29926	Fructose and mannose metabolism
172	hsa00051	3098	Fructose and mannose metabolism
173	hsa00051	3099	Fructose and mannose metabolism
174	hsa00051	3101	Fructose and mannose metabolism
175	hsa00051	3795	Fructose and mannose metabolism
176	hsa00051	4351	Fructose and mannose metabolism
177	hsa00051	5207	Fructose and mannose metabolism
178	hsa00051	5208	Fructose and mannose metabolism
179	hsa00051	5209	Fructose and mannose metabolism
180	hsa00051	5210	Fructose and mannose metabolism
181	hsa00051	5211	Fructose and mannose metabolism
182	hsa00051	5213	Fructose and mannose metabolism
183	hsa00051	5214	Fructose and mannose metabolism
184	hsa00051	5372	Fructose and mannose metabolism
185	hsa00051	5373	Fructose and mannose metabolism
186	hsa00051	55556	Fructose and mannose metabolism
187	hsa00051	57016	Fructose and mannose metabolism
188	hsa00051	57103	Fructose and mannose metabolism
189	hsa00051	6652	Fructose and mannose metabolism
190	hsa00051	7167	Fructose and mannose metabolism
191	hsa00051	7264	Fructose and mannose metabolism
192	hsa00051	80201	Fructose and mannose metabolism
193	hsa00051	8789	Fructose and mannose metabolism
194	hsa00051	8790	Fructose and mannose metabolism
195	hsa00052	130589	Galactose metabolism
196	hsa00052	231	Galactose metabolism
197	hsa00052	2538	Galactose metabolism
198	hsa00052	2548	Galactose metabolism
199	hsa00052	2582	Galactose metabolism
200	hsa00052	2584	Galactose metabolism
201	hsa00052	2592	Galactose metabolism
202	hsa00052	2595	Galactose metabolism
203	hsa00052	2645	Galactose metabolism
204	hsa00052	2683	Galactose metabolism
205	hsa00052	2717	Galactose metabolism
206	hsa00052	2720	Galactose metabolism
207	hsa00052	3098	Galactose metabolism
208	hsa00052	3099	Galactose metabolism
209	hsa00052	3101	Galactose metabolism
210	hsa00052	3906	Galactose metabolism
211	hsa00052	3938	Galactose metabolism
212	hsa00052	5211	Galactose metabolism
213	hsa00052	5213	Galactose metabolism
214	hsa00052	5214	Galactose metabolism
215	hsa00052	5236	Galactose metabolism
216	hsa00052	55276	Galactose metabolism
217	hsa00052	57016	Galactose metabolism
218	hsa00052	57818	Galactose metabolism
219	hsa00052	6476	Galactose metabolism
220	hsa00052	7360	Galactose metabolism
221	hsa00052	80201	Galactose metabolism
222	hsa00052	8704	Galactose metabolism
223	hsa00052	8972	Galactose metabolism
224	hsa00052	92579	Galactose metabolism
225	hsa00052	93432	Galactose metabolism
226	hsa00053	10327	Ascorbate and aldarate metabolism
227	hsa00053	10720	Ascorbate and aldarate metabolism
228	hsa00053	10941	Ascorbate and aldarate metabolism
229	hsa00053	217	Ascorbate and aldarate metabolism
230	hsa00053	219	Ascorbate and aldarate metabolism
231	hsa00053	223	Ascorbate and aldarate metabolism
232	hsa00053	224	Ascorbate and aldarate metabolism
233	hsa00053	2990	Ascorbate and aldarate metabolism
234	hsa00053	501	Ascorbate and aldarate metabolism
235	hsa00053	54490	Ascorbate and aldarate metabolism
236	hsa00053	54575	Ascorbate and aldarate metabolism
237	hsa00053	54576	Ascorbate and aldarate metabolism
238	hsa00053	54577	Ascorbate and aldarate metabolism
239	hsa00053	54578	Ascorbate and aldarate metabolism
240	hsa00053	54579	Ascorbate and aldarate metabolism
241	hsa00053	54600	Ascorbate and aldarate metabolism
242	hsa00053	54657	Ascorbate and aldarate metabolism
243	hsa00053	54658	Ascorbate and aldarate metabolism
244	hsa00053	54659	Ascorbate and aldarate metabolism
245	hsa00053	55586	Ascorbate and aldarate metabolism
246	hsa00053	574537	Ascorbate and aldarate metabolism
247	hsa00053	7358	Ascorbate and aldarate metabolism
248	hsa00053	7363	Ascorbate and aldarate metabolism
249	hsa00053	7364	Ascorbate and aldarate metabolism
250	hsa00053	7365	Ascorbate and aldarate metabolism
251	hsa00053	7366	Ascorbate and aldarate metabolism
252	hsa00053	7367	Ascorbate and aldarate metabolism
253	hsa00053	79799	Ascorbate and aldarate metabolism
254	hsa00053	9104	Ascorbate and aldarate metabolism
255	hsa00053	9365	Ascorbate and aldarate metabolism
256	hsa00061	109703458	Fatty acid biosynthesis
257	hsa00061	197322	Fatty acid biosynthesis
258	hsa00061	2180	Fatty acid biosynthesis
259	hsa00061	2181	Fatty acid biosynthesis
260	hsa00061	2182	Fatty acid biosynthesis
261	hsa00061	2194	Fatty acid biosynthesis
262	hsa00061	23205	Fatty acid biosynthesis
263	hsa00061	23305	Fatty acid biosynthesis
